iter	Passed	Remaining
965	40374	1429
966	40408	1387
967	40442	1345
968	40477	1303
969	40513	1260
970	40547	1218
971	40582	1176
972	40618	1134
973	40652	1091
974	40690	1049
975	40723	1007
976	40757	965
977	40791	923
978	40824	881
979	40857	838
980	40892	796
981	40927	754
982	40963	712
983	41000	670
984	41040	628
985	41079	586
986	41116	544
987	41153	502
988	41191	460
989	41227	418
990	41264	377
991	41306	335
992	41344	293
993	41382	251
994	41422	209
995	41456	167
996	41489	125
997	41524	83
998	41561	41
999	41594	0
